,importance
price_vs_ema200,0.087879136412168
macd_signal,0.07534362690407272
dow_cos,0.07369149676499748
volatility_20,0.0719599609054373
atr_14,0.06486213250592794
hour_cos,0.06264912879653182
macd_hist,0.052813459565651415
bb_width,0.052362008788283766
atr_pct,0.05181313465251649
hour_sin,0.05153553823381233
macd,0.049872805930164424
adx_14,0.04924805771389856
volatility_10,0.04827310541356947
price_vs_ema50,0.04619808275639672
metal_session,0.04235621640072816
swing_dist_low,0.04151068212449276
return_20,0.0413121021129297
dow_sin,0.04040590781614601
volatility_regime,0.03545525547488215
stoch_d,0.035020572856004024
volume_ratio,0.034654981210544916
ema_cross,0.03429429020283292
directional_efficiency,0.03363024050908391
swing_dist_high,0.031815218467475
adx_slope,0.03170218644116879
momentum_diff,0.031055007795699054
cci_20,0.02962909871508334
rsi_divergence,0.02766052112468199
is_london,0.025937248765904707
return_5,0.025321295903573997
price_vs_ema20,0.024665588203338775
rsi_14,0.023597367095650666
is_overlap,0.02349073459130168
is_ny,0.02310737367164922
bb_pct,0.022026767729002358
return_3,0.02169724667028353
williams_r,0.02118885415307787
candle_body_pct,0.020874181934845273
hl_ratio,0.020322234914000006
stoch_k,0.018176527126939672
return_1,0.016897886307277944
